"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"25165",0,0,0,0,0,0,0,0
"36983",0,0,0,0,0,0,0,0
"15296",1,1,0,0,0,0,1,1
"15421",0,0,0,0,0,0,0,0
"28302",0,0,0,0,1,1,0,0
"30433",0,0,0,0,0,0,0,0
"22464",0,0,0,1,1,0,0,0
"27049",0,0,0,0,0,0,0,0
"17016",0,0,0,0,0,0,0,0
"34103",0,0,0,0,0,0,0,0
"29926",0,0,0,0,0,0,0,0
"33272",0,0,0,0,1,0,0,0
"30028",0,1,0,0,0,1,0,0
"14162",0,0,0,0,0,0,0,0
"28696",0,0,0,0,0,0,0,0
"20649",0,0,0,0,0,0,0,0
"18681",0,0,0,0,0,0,0,0
"19549",0,0,1,0,0,0,0,0
"28997",0,0,0,0,0,0,0,0
"29487",0,0,1,0,0,0,0,0
"14872",0,0,0,0,0,0,0,0
"27336",1,0,0,1,0,1,0,0
"23682",0,0,0,0,0,0,0,0
"10806",0,0,0,0,0,0,0,0
"30128",0,0,1,0,0,0,0,0
"11402",0,0,0,0,0,0,0,0
"38343",0,0,0,0,0,0,0,0
"38571",0,0,0,0,0,0,0,0
"31679",0,0,0,0,0,0,0,0
"31725",0,0,0,0,0,0,0,0
"28826",0,0,0,0,0,0,0,0
"39804",0,0,0,0,0,0,0,0
"30545",0,0,0,0,0,0,0,0
"19180",0,0,0,0,0,0,0,0
